timestamp,checklist_name,item_text,action,user,completion_status
2026-01-08T12:53:57,Opening,Power on fans & Ventilation Systems,CHECKED,kejuan,INCOMPLETE
2026-01-08T12:53:57,Opening,Check and Record Gas Levels (Replace if under 300 PSI),CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:00,Opening,Empty Ultrasonic Cleaner (if still wet set to dry),CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:02,Opening,Verify that all parser instances are still running,CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:02,Opening,Check Equipment Manager (EQM) to see that all nightly testing machines were in spec,CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:03,Opening,Check Master Spreadsheet to see that all nightly testing was completed.,CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:10,Opening,Sulfur (Solvent: Toluene),CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:12,Opening,Cloud and Pour,CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:19,Opening,Create Karl Fisher Vessel and precondition them,CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:20,Opening,Run QC on the following Machines and verify their resutls on the EQM,CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:20,Opening,Eraspec,CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:20,Opening,Flash Machines,CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:20,Opening,Sulfur Machines,CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:20,Opening,GC,CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:50,Opening,Put away dry glassware ,CHECKED,kejuan,INCOMPLETE
2026-01-08T12:54:50,Opening,"Empty Dishwasher, put away, or set to dry",CHECKED,kejuan,INCOMPLETE
2026-01-08T12:55:41,Opening,GC (Solvent: Acetone),CHECKED,ryan,INCOMPLETE
2026-01-08T12:56:13,Opening,Power on fans & Ventilation Systems,UNCHECKED,ryan,INCOMPLETE
2026-01-08T12:56:14,Opening,Power on fans & Ventilation Systems,CHECKED,ryan,INCOMPLETE
2026-01-08T16:08:26,Closing,Read and enter microbial results into Qbench,CHECKED,ryan,INCOMPLETE
2026-01-08T16:09:29,Closing,Ensure all overnight and automated tests are running,CHECKED,ryan,INCOMPLETE
2026-01-08T16:09:32,Closing,Check the Master Log for pending or unresolved items,CHECKED,ryan,INCOMPLETE
2026-01-08T16:09:32,Closing,Move all samples tested today into retain,CHECKED,ryan,INCOMPLETE
2026-01-08T16:09:34,Closing,Clean out KF vessels with methanol and set to dry,CHECKED,ryan,INCOMPLETE
2026-01-08T16:09:35,Closing,Move all glassware to the prep station,CHECKED,ryan,INCOMPLETE
2026-01-08T16:09:36,Closing,Rinse used glassware with acetone,CHECKED,ryan,INCOMPLETE
2026-01-08T16:09:37,Closing,Load and run the dishwasher,CHECKED,ryan,INCOMPLETE
2026-01-08T16:09:44,Closing,Clean and reset each station for the next day,CHECKED,ryan,INCOMPLETE
2026-01-08T16:09:45,Closing,Replace and properly dispose of soiled absorbent pads,CHECKED,ryan,INCOMPLETE
2026-01-08T16:09:58,Closing,Restock Kimwipes,CHECKED,ryan,INCOMPLETE
2026-01-08T16:10:02,Closing,Place Eraspec filters in Ultrasonic bath,CHECKED,ryan,INCOMPLETE
2026-01-08T16:10:05,Closing,Refill ASTM QC samples,CHECKED,ryan,INCOMPLETE
2026-01-08T16:10:06,Closing,Clean syringes with methanol,CHECKED,ryan,INCOMPLETE
2026-01-08T16:10:10,Closing,Refill all cleaning solvents,CHECKED,ryan,INCOMPLETE
2026-01-08T16:10:20,Closing,Empty all full waste containers (Check all 4),CHECKED,ryan,INCOMPLETE
2026-01-08T16:10:26,Closing,"Ensure main waste container is sealed, clean, and leak-free",CHECKED,ryan,INCOMPLETE
2026-01-08T16:10:49,Closing,Eraspec,CHECKED,ryan,INCOMPLETE
2026-01-08T16:10:49,Closing,Copper Bath,CHECKED,ryan,INCOMPLETE
2026-01-08T16:10:56,Closing,Auto Grabner,CHECKED,ryan,INCOMPLETE
2026-01-08T16:10:58,Closing,Thermal Bath,CHECKED,ryan,INCOMPLETE
2026-01-08T16:10:58,Closing,Visual camera and lights,CHECKED,ryan,INCOMPLETE
2026-01-08T16:10:59,Closing,Water & Sed camera and lights,CHECKED,ryan,INCOMPLETE
2026-01-08T16:11:00,Closing,Particle Counter,CHECKED,ryan,INCOMPLETE
2026-01-08T16:11:16,Closing,PetroOxy,CHECKED,ryan,INCOMPLETE
2026-01-08T16:11:17,Closing,Colorimeter,CHECKED,ryan,INCOMPLETE
2026-01-08T16:11:18,Closing,Color Machine,CHECKED,ryan,INCOMPLETE
2026-01-08T16:11:18,Closing,Scale,CHECKED,ryan,INCOMPLETE
2026-01-08T16:11:19,Closing,Viscosity,CHECKED,ryan,INCOMPLETE
2026-01-08T16:11:22,Closing,FBT,CHECKED,ryan,INCOMPLETE
2026-01-08T16:13:29,Closing,Check gas levels,CHECKED,ryan,INCOMPLETE
2026-01-08T16:13:33,Closing,Vacuum the lab,CHECKED,ryan,INCOMPLETE
2026-01-08T16:14:46,Closing,Turn off all fume hoods,CHECKED,ryan,INCOMPLETE
2026-01-08T16:15:49,Closing,Take out trash,CHECKED,ryan,INCOMPLETE
2026-01-08T16:16:32,Closing,Turn off all lab lights,CHECKED,ryan,INCOMPLETE
2026-01-09T08:03:41,Opening,Power on fans & Ventilation Systems,CHECKED,kejuan,INCOMPLETE
2026-01-09T08:08:09,Opening,Check and Record Gas Levels (Replace if under 300 PSI),CHECKED,kejuan,INCOMPLETE
2026-01-09T08:22:37,Opening,Verify that all parser instances are still running,CHECKED,kejuan,INCOMPLETE
2026-01-09T08:29:39,Opening,Put away dry glassware ,CHECKED,kejuan,INCOMPLETE
2026-01-09T08:29:40,Opening,"Empty Dishwasher, put away, or set to dry",CHECKED,kejuan,INCOMPLETE
2026-01-09T08:33:38,Opening,Empty Ultrasonic Cleaner (if still wet set to dry),CHECKED,kejuan,INCOMPLETE
2026-01-09T08:33:59,Opening,Check Equipment Manager (EQM) to see that all nightly testing machines were in spec,CHECKED,kejuan,INCOMPLETE
2026-01-09T08:34:35,Opening,Check Master Spreadsheet to see that all nightly testing was completed.,CHECKED,kejuan,INCOMPLETE
2026-01-09T08:39:14,Opening,Sulfur (Solvent: Toluene),CHECKED,kejuan,INCOMPLETE
2026-01-09T08:42:43,Opening,GC (Solvent: Acetone),CHECKED,kejuan,INCOMPLETE
2026-01-09T08:43:37,Opening,Cloud and Pour,CHECKED,kejuan,INCOMPLETE
2026-01-09T08:57:21,Opening,Create Karl Fisher Vessel and precondition them,CHECKED,kejuan,INCOMPLETE
2026-01-09T09:01:53,Opening,Sulfur Machines,CHECKED,kejuan,INCOMPLETE
2026-01-09T09:01:54,Opening,Sulfur Machines,UNCHECKED,kejuan,INCOMPLETE
2026-01-09T09:12:13,Opening,Flash Machines,CHECKED,kejuan,INCOMPLETE
2026-01-09T09:12:16,Opening,Sulfur Machines,CHECKED,kejuan,INCOMPLETE
2026-01-09T09:12:24,Opening,Turn on the copper bath,CHECKED,kejuan,INCOMPLETE
2026-01-09T09:12:48,Opening,GC,CHECKED,kejuan,INCOMPLETE
2026-01-09T09:14:45,Opening,Eraspec,CHECKED,kejuan,INCOMPLETE
2026-01-09T09:14:47,Opening,Run QC on the following Machines and verify their resutls on the EQM,CHECKED,kejuan,INCOMPLETE
2026-01-09T09:14:47,Opening,Eraspec,CHECKED,kejuan,INCOMPLETE
2026-01-09T09:14:47,Opening,Flash Machines,CHECKED,kejuan,INCOMPLETE
2026-01-09T09:14:47,Opening,Sulfur Machines,CHECKED,kejuan,INCOMPLETE
2026-01-09T09:14:47,Opening,GC,CHECKED,kejuan,INCOMPLETE
2026-01-09T16:09:12,Closing,Read and enter microbial results into Qbench,CHECKED,ryan,INCOMPLETE
2026-01-09T16:09:13,Closing,Ensure all overnight and automated tests are running,CHECKED,ryan,INCOMPLETE
2026-01-09T16:09:42,Closing,Check the Master Log for pending or unresolved items,CHECKED,ryan,INCOMPLETE
2026-01-09T16:09:47,Closing,Dispose of retained samples older than 30 days,CHECKED,ryan,INCOMPLETE
2026-01-09T16:09:49,Closing,Move all samples tested today into retain,CHECKED,ryan,INCOMPLETE
2026-01-09T16:10:02,Closing,Clean out KF vessels with methanol and set to dry,CHECKED,ryan,INCOMPLETE
2026-01-09T16:10:03,Closing,Move all glassware to the prep station,CHECKED,ryan,INCOMPLETE
2026-01-09T16:10:04,Closing,Rinse used glassware with acetone,CHECKED,ryan,INCOMPLETE
2026-01-09T16:10:05,Closing,Load and run the dishwasher,CHECKED,ryan,INCOMPLETE
2026-01-09T16:10:07,Closing,Clean and reset each station for the next day,CHECKED,ryan,INCOMPLETE
2026-01-09T16:10:09,Closing,Replace and properly dispose of soiled absorbent pads,CHECKED,ryan,INCOMPLETE
2026-01-09T16:10:09,Closing,Restock Kimwipes,CHECKED,ryan,INCOMPLETE
2026-01-09T16:11:04,Closing,Place Eraspec filters in Ultrasonic bath,CHECKED,ryan,INCOMPLETE
2026-01-09T16:11:05,Closing,Refill ASTM QC samples,CHECKED,ryan,INCOMPLETE
2026-01-09T16:11:06,Closing,Clean syringes with methanol,CHECKED,ryan,INCOMPLETE
2026-01-09T16:11:10,Closing,Refill all cleaning solvents,CHECKED,ryan,INCOMPLETE
2026-01-09T16:11:14,Closing,Take out trash,CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:18,Closing,Empty all full waste containers (Check all 4),CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:19,Closing,"Ensure main waste container is sealed, clean, and leak-free",CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:21,Closing,Turn off all fume hoods,CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:24,Closing,Auto Grabner,CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:25,Closing,Eraspec,CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:26,Closing,Copper Bath,CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:26,Closing,Thermal Bath,CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:27,Closing,Visual camera and lights,CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:28,Closing,Water & Sed camera and lights,CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:29,Closing,Particle Counter,CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:32,Closing,Color Machine,CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:32,Closing,FBT,CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:33,Closing,Scale,CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:33,Closing,Viscosity,CHECKED,ryan,INCOMPLETE
2026-01-09T16:14:50,Closing,Colorimeter,CHECKED,ryan,INCOMPLETE
2026-01-09T16:15:13,Closing,Check gas levels,CHECKED,ryan,INCOMPLETE
2026-01-09T16:15:19,Closing,Check gas levels,UNCHECKED,ryan,INCOMPLETE
2026-01-09T16:15:20,Closing,Vacuum the lab,CHECKED,ryan,INCOMPLETE
2026-01-09T16:15:20,Closing,Turn off all fume hoods,UNCHECKED,ryan,INCOMPLETE
2026-01-09T16:15:21,Closing,Check gas levels,CHECKED,ryan,INCOMPLETE
2026-01-09T16:15:21,Closing,Turn off all fume hoods,CHECKED,ryan,INCOMPLETE
2026-01-09T16:15:36,Closing,Turn off all lab lights,CHECKED,ryan,INCOMPLETE
2026-01-12T08:12:36,Opening,Power on fans & Ventilation Systems,CHECKED,kejuan,INCOMPLETE
2026-01-12T08:17:33,Opening,Check and Record Gas Levels (Replace if under 300 PSI),CHECKED,kejuan,INCOMPLETE
2026-01-12T08:37:05,Opening,"Empty Dishwasher, put away, or set to dry",CHECKED,kejuan,INCOMPLETE
2026-01-12T08:37:06,Opening,Put away dry glassware ,CHECKED,kejuan,INCOMPLETE
2026-01-12T08:39:11,Opening,Empty Ultrasonic Cleaner (if still wet set to dry),CHECKED,kejuan,INCOMPLETE
2026-01-12T08:41:52,Opening,Verify that all parser instances are still running,CHECKED,kejuan,INCOMPLETE
2026-01-12T08:43:02,Opening,Check Equipment Manager (EQM) to see that all nightly testing machines were in spec,CHECKED,kejuan,INCOMPLETE
2026-01-12T08:43:03,Opening,Check Master Spreadsheet to see that all nightly testing was completed.,CHECKED,kejuan,INCOMPLETE
2026-01-12T08:43:06,Opening,Check Equipment Manager (EQM) to see that all nightly testing machines were in spec,UNCHECKED,kejuan,INCOMPLETE
2026-01-12T08:43:42,Opening,Check Equipment Manager (EQM) to see that all nightly testing machines were in spec,CHECKED,kejuan,INCOMPLETE
2026-01-12T08:56:24,Opening,Create Karl Fisher Vessel and precondition them,CHECKED,kejuan,INCOMPLETE
2026-01-12T09:05:57,Opening,Sulfur (Solvent: Toluene),CHECKED,kejuan,INCOMPLETE
2026-01-12T09:06:01,Opening,GC (Solvent: Acetone),CHECKED,kejuan,INCOMPLETE
2026-01-12T09:08:27,Opening,Sulfur Machines,CHECKED,kejuan,INCOMPLETE
2026-01-12T09:08:27,Opening,GC,CHECKED,kejuan,INCOMPLETE
2026-01-12T09:08:28,Opening,Flash Machines,CHECKED,kejuan,INCOMPLETE
2026-01-12T09:08:30,Opening,Eraspec,CHECKED,kejuan,INCOMPLETE
2026-01-12T09:08:34,Opening,Turn on the copper bath,CHECKED,kejuan,INCOMPLETE
2026-01-12T09:08:39,Opening,Run QC on the following Machines and verify their resutls on the EQM,CHECKED,kejuan,INCOMPLETE
2026-01-12T09:08:39,Opening,Eraspec,CHECKED,kejuan,INCOMPLETE
2026-01-12T09:08:39,Opening,Flash Machines,CHECKED,kejuan,INCOMPLETE
2026-01-12T09:08:39,Opening,Sulfur Machines,CHECKED,kejuan,INCOMPLETE
2026-01-12T09:08:39,Opening,GC,CHECKED,kejuan,INCOMPLETE
