timestamp,box_uid,box_title,prev_status,new_status,reason
2025-09-16T15:09:33,box_1679150166896,Flash,GREEN,RED,At least one watched test is out of spec or missing.
2025-09-16T15:09:40,box_1679150166896,Flash,RED,GREEN,All watched tests are within expected ranges.
2025-09-16T15:10:54,box_1679150166896,Flash,GREEN,RED,At least one watched test is out of spec or missing.
2025-09-16T15:10:59,box_1679150166896,Flash,RED,GREEN,All watched tests are within expected ranges.
2025-09-16T15:11:20,box_1679150166896,Flash,GREEN,RED,At least one watched test is out of spec or missing.
2025-09-16T15:11:26,box_1679150166896,Flash,RED,GREEN,All watched tests are within expected ranges.
2025-09-16T15:14:43,box_3081148503168,GC,GREEN,UNKNOWN,Insufficient data for one or more tests.
2025-09-16T15:17:41,box_3081148503168,GC,UNKNOWN,GREEN,All watched tests are within expected ranges.
2025-09-16T15:17:54,box_3081148503168,GC,GREEN,RED,At least one watched test is out of spec or missing.
2025-09-16T15:18:36,box_3081148503168,GC,RED,GREEN,All watched tests are within expected ranges.
